TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
The,O,1,prices,det,_,,O
prices,B-ASP,3,fantastic,nsubj,_,,AT-Head
were,O,3,fantastic,cop,_,,O
fantastic,B-OP,3,fantastic,ROOT,_,,"1###[""OT"", ""nsubj"", ""ASP""]"
.,O,3,fantastic,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,had,nsubj,_,,O
had,O,1,had,ROOT,_,,O
a,O,4,experience,det,_,,O
great,O,4,experience,amod,_,,O
experience,O,1,had,obj,_,,O
.,O,1,had,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,Yellowtail,det,_,,O
Yellowtail,B-ASP,4,good,nsubj,_,yellow ##tail,AT-Head
was,O,4,good,cop,_,,O
particularly,O,4,good,advmod,_,,O
good,B-OP,4,good,ROOT,_,,"1###[""OT"", ""nsubj"", ""ASP""]"
as,O,4,good,advmod,_,,O
well,O,5,as,fixed,_,,O
.,O,4,good,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Food,B-ASP,2,OK,nsubj,_,,AT-Head
was,O,2,OK,cop,_,,O
OK,B-OP,2,OK,ROOT,_,,"0###[""OT"", ""nsubj"", ""ASP""]"
-,O,2,OK,punct,_,,O
fish,B-ASP,6,cooked,nsubj:pass,_,,AT-Head
was,O,6,cooked,aux:pass,_,,O
cooked,O,2,OK,conj,_,,O
well,B-OP,6,cooked,advmod,_,,"4###[""OT"", ""advmod^-1"", ""*"", ""nsubj:pass"", ""ASP""]"
.,O,2,OK,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Satay,O,2,one,nsubj,_,sat ##ay,O
is,O,2,one,cop,_,,O
one,O,2,one,ROOT,_,,O
of,O,6,haunts,case,_,,O
those,O,6,haunts,det,_,,O
favorite,B-OP,6,haunts,amod,_,,OT-W\O-Path
haunts,O,2,one,nmod,_,haunt ##s,O
on,O,8,Washington,case,_,,O
Washington,O,6,haunts,nmod,_,,O
where,O,18,money,advmod,_,,O
the,O,11,service,det,_,,O
service,B-ASP,18,money,nsubj,_,,AT-W\O-Path
and,O,13,food,cc,_,,O
food,B-ASP,11,service,conj,_,,AT-W\O-Path
is,O,18,money,cop,_,,O
always,O,18,money,advmod,_,,O
on,O,18,money,case,_,,O
the,O,18,money,det,_,,O
money,O,6,haunts,acl:relcl,_,,O
.,O,2,one,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
delicious,B-OP,2,food,amod,_,,"2###[""OT"", ""amod^-1"", ""ASP""]"
simple,B-OP,2,food,amod,_,,"2###[""OT"", ""amod^-1"", ""ASP""]"
food,B-ASP,2,food,ROOT,_,,AT-Head
in,O,6,atmosphere,case,_,,O
nice,B-OP,6,atmosphere,amod,_,,"6###[""OT"", ""amod^-1"", ""ASP""]"
outdoor,O,6,atmosphere,amod,_,,O
atmosphere,B-ASP,2,food,nmod,_,,AT-Head
.,O,2,food,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
good,B-OP,1,food,amod,_,,"1###[""OT"", ""amod^-1"", ""ASP""]"
food,B-ASP,3,wine,compound,_,,AT-Head
good,B-OP,3,wine,amod,_,,"3###[""OT"", ""amod^-1"", ""ASP""]"
wine,B-ASP,3,wine,ROOT,_,,AT-Head
that,O,5,'s,nsubj,_,,O
's,O,3,wine,acl:relcl,_,' s,O
it,O,5,'s,obj,_,,O
.,O,3,wine,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,secret,det,_,,O
secret,B-OP,5,menu,nsubj,_,,"5###[""OT"", ""nsubj^-1"", ""ASP""]"
is,O,5,menu,cop,_,,O
the,O,5,menu,det,_,,O
lunch,B-ASP,5,menu,compound,_,,AT-Secondary
menu,I-ASP,14,ordered,nsubj,_,,AT-Head
which,O,7,offers,nsubj,_,,O
offers,O,5,menu,acl:relcl,_,,O
a,O,10,appetizer,det,_,,O
complimentary,B-OP,10,appetizer,amod,_,compliment ##ary,"10###[""OT"", ""amod^-1"", ""ASP""]"
appetizer,B-ASP,7,offers,obj,_,app ##eti ##zer,AT-Head
with,O,13,entree,case,_,,O
every,O,13,entree,det,_,,O
entree,B-ASP,7,offers,nmod,_,en ##tree,AT-W\O-Path
ordered,O,14,ordered,ROOT,_,,O
.,O,14,ordered,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,1,staff,det,_,,O
staff,B-ASP,5,friendliest,nsubj,_,,AT-Head
is,O,5,friendliest,cop,_,,O
n't,O,5,friendliest,advmod,_,n ' t,O
the,O,5,friendliest,det,_,,O
friendliest,B-OP,5,friendliest,ROOT,_,friend ##liest,"1###[""OT"", ""nsubj"", ""ASP""]"
or,O,8,competent,cc,_,,O
most,O,8,competent,advmod,_,,O
competent,B-OP,5,friendliest,conj,_,,"1###[""OT"", ""conj^-1"", ""*"", ""nsubj"", ""ASP""]"
",",O,13,stickler,punct,_,,O
and,O,13,stickler,cc,_,,O
I,O,13,stickler,nsubj,_,,O
am,O,13,stickler,aux,_,,O
stickler,O,5,friendliest,conj,_,stick ##ler,O
for,O,15,service,case,_,,O
service,B-ASP,13,stickler,obl,_,,AT-W\O-Path
",",O,23,makes,punct,_,,O
but,O,23,makes,cc,_,,O
everything,O,23,makes,nsubj,_,,O
else,O,18,everything,amod,_,,O
about,O,22,place,case,_,,O
this,O,22,place,det,_,,O
place,O,18,everything,nmod,_,,O
makes,O,5,friendliest,conj,_,,O
up,O,23,makes,compound:prt,_,,O
for,O,26,it,case,_,,O
it,O,23,makes,obl,_,,O
.,O,5,friendliest,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
So,O,1,close,advmod,_,,O
close,O,1,close,ROOT,_,,O
",",O,5,good,punct,_,,O
but,O,5,good,cc,_,,O
not,O,5,good,advmod,_,,O
good,B-OP,1,close,conj,_,,OT-W\O-Path
enough,I-OP,5,good,advmod,_,,OT-W\O-Path
.,O,1,close,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Despite,O,2,fact,case,_,,O
the,O,2,fact,det,_,,O
fact,O,11,overcrowded,obl,_,,O
that,O,7,large,mark,_,,O
the,O,5,space,det,_,,O
space,B-ASP,7,large,nsubj,_,,AT-Head
is,O,7,large,cop,_,,O
large,B-OP,2,fact,acl,_,,"5###[""OT"", ""nsubj"", ""ASP""]"
",",O,11,overcrowded,punct,_,,O
they,O,11,overcrowded,nsubj,_,,O
've,O,11,overcrowded,aux,_,' ve,O
overcrowded,B-OP,11,overcrowded,ROOT,_,over ##crow ##ded,"15###[""OT"", ""obj"", ""*"", ""nmod"", ""ASP""]"
the,O,13,floor,det,_,,O
floor,O,11,overcrowded,obj,_,,O
with,O,15,tables,case,_,,O
tables,B-ASP,13,floor,nmod,_,,AT-Head
.,O,11,overcrowded,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Over,B-OP,1,priced,advmod,_,,OT-W\O-Path
priced,I-OP,3,overrated,amod,_,,OT-W\O-Path
",",O,1,priced,punct,_,,O
overrated,B-OP,3,overrated,ROOT,_,over ##rated,OT-W\O-Path
....,O,3,overrated,punct,_,. . . .,O
stay,O,3,overrated,parataxis,_,,O
away,O,5,stay,advmod,_,,O
!,O,3,overrated,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
If,O,3,looking,mark,_,,O
you,O,3,looking,nsubj,_,,O
're,O,3,looking,aux,_,' re,O
looking,O,13,go,advcl,_,,O
for,O,7,meal,case,_,,O
a,O,7,meal,det,_,,O
great,B-OP,7,meal,amod,_,,"7###[""OT"", ""amod^-1"", ""ASP""]"
meal,B-ASP,3,looking,obl,_,,AT-Head
at,O,11,price,case,_,,O
a,O,11,price,det,_,,O
decent,B-OP,11,price,amod,_,,"11###[""OT"", ""amod^-1"", ""ASP""]"
price,B-ASP,7,meal,nmod,_,,AT-Head
",",O,13,go,punct,_,,O
go,O,13,go,ROOT,_,,O
to,O,16,Frisco,case,_,,O
Del,O,16,Frisco,compound,_,,O
Frisco,O,13,go,obl,_,fr ##is ##co,O
's,O,16,Frisco,case,_,' s,O
!,O,13,go,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,took,nsubj,_,,O
took,O,1,took,ROOT,_,,O
one,O,3,bite,nummod,_,,O
bite,O,1,took,obj,_,,O
from,O,6,$,case,_,,O
the,O,6,$,det,_,,O
$,O,1,took,nmod,_,,O
24,O,8,salmon,compound,_,,O
salmon,B-ASP,6,$,nummod,_,,AT-W\O-Path
",",O,12,have,punct,_,,O
and,O,12,have,cc,_,,O
I,O,12,have,nsubj,_,,O
have,O,1,took,conj,_,,O
never,O,22,going,advmod,_,,O
",",O,22,going,punct,_,,O
in,O,18,years,case,_,,O
the,O,18,years,det,_,,O
17,O,18,years,nummod,_,,O
years,O,22,going,obl,_,,O
I,O,22,going,nsubj,_,,O
have,O,22,going,aux,_,,O
been,O,22,going,aux,_,,O
going,O,12,have,xcomp,_,,O
to,O,24,restaurants,case,_,,O
restaurants,O,22,going,obl,_,,O
tasted,O,24,restaurants,acl,_,,O
salmon,O,25,tasted,obj,_,,O
as,O,28,fishy,case,_,,O
fishy,B-OP,25,tasted,obl,_,fish ##y,OT-W\O-Path
",",O,25,tasted,punct,_,,O
as,O,31,dry,mark,_,,O
dry,B-OP,25,tasted,advcl,_,,OT-W\O-Path
",",O,35,bland,punct,_,,O
and,O,35,bland,cc,_,,O
as,O,35,bland,advmod,_,,O
bland,B-OP,25,tasted,conj,_,,OT-W\O-Path
as,O,38,one,case,_,,O
the,O,38,one,det,_,,O
one,O,35,bland,obl,_,,O
in,O,41,Farms,case,_,,O
Flatbush,O,41,Farms,compound,_,flat ##bush,O
