TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
maybe,O,2,is,advmod,RB,
it,O,2,is,nsubj,PRP,
is,O,2,is,ROOT,VBZ,
my,O,4,lack,poss,PRP$,
lack,O,2,is,attr,NN,
of,O,4,lack,prep,IN,
experience,O,5,of,pobj,NN,
",",O,2,is,punct,",",
but,O,2,is,cc,CC,
i,O,10,found,nsubj,PRP,
found,O,2,is,conj,VBD,
shots,B-ASP,16,disappointing,nsubj,NNS,
with,O,11,shots,prep,IN,
this,O,14,camera,det,DT,
camera,O,12,with,pobj,NN,
very,O,16,disappointing,advmod,RB,
disappointing,B-OP,10,found,ccomp,JJ,
.,O,10,found,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,2,quality,det,DT,
sound,B-ASP,2,quality,amod,JJ,
quality,I-ASP,3,is,nsubj,NN,
is,O,3,is,ROOT,VBZ,
fantastic,B-OP,3,is,acomp,JJ,
(,O,7,quality,punct,-LRB-,
cd,O,7,quality,compound,NN,
quality,O,3,is,npadvmod,NN,
),O,7,quality,punct,-RRB-,
and,O,3,is,cc,CC,
it,O,11,is,nsubj,PRP,
is,O,3,is,conj,VBZ,
really,O,13,great,advmod,RB,
great,B-OP,11,is,acomp,JJ,
to,O,15,carry,aux,TO,
carry,B-ASP,11,is,xcomp,VB,
this,O,15,carry,dobj,DT,
around,O,15,carry,prep,RP,
instead,O,19,of,advmod,RB,
of,O,15,carry,prep,IN,
stacks,O,19,of,pobj,NNS,
of,O,20,stacks,prep,IN,
cd,O,21,of,pobj,NN,
's,O,22,cd,case,POS,' s
or,O,22,cd,cc,CC,
tapes,O,22,cd,conj,NNS,
!,O,11,is,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,am,nsubj,PRP,
am,O,10,thought,ccomp,VBP,
even,O,4,bit,advmod,RB,
a,O,4,bit,det,DT,
bit,O,5,technology,compound,NN,
technology,O,6,oriented,npadvmod,NN,
oriented,O,1,am,acomp,VBN,
",",O,10,thought,punct,",",
so,O,10,thought,advmod,RB,
i,O,10,thought,nsubj,PRP,
thought,O,10,thought,ROOT,VBD,
it,O,13,be,nsubj,PRP,
would,O,13,be,aux,MD,
be,O,10,thought,ccomp,VB,
a,O,15,breeze,det,DT,
breeze,O,13,be,attr,NN,
to,O,17,set,aux,TO,
set,O,15,breeze,relcl,VB,
this,O,17,set,dobj,DT,
up,O,17,set,prt,RP,
.,O,10,thought,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,sound,det,DT,
sound,B-ASP,5,is,nsubj,NN,
from,O,1,sound,prep,IN,
the,O,4,player,det,DT,
player,O,2,from,pobj,NN,
is,O,5,is,ROOT,VBZ,
ok,B-OP,5,is,acomp,JJ,
.,O,5,is,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
still,O,2,response,advmod,RB,
no,O,2,response,det,DT,
response,O,2,response,ROOT,NN,
.,O,2,response,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
yes,O,6,were,intj,UH,
",",O,6,were,punct,",",
all,O,3,cameras,det,DT,
cameras,O,6,were,nsubj,NNS,
except,O,3,cameras,prep,IN,
g3,O,4,except,pobj,NNP,g ##3
were,O,6,were,ROOT,VBD,
5mp,O,6,were,acomp,JJ,5 ##mp
but,O,6,were,cc,CC,
i,O,11,looking,nsubj,PRP,
was,O,11,looking,aux,VBD,
looking,O,6,were,conj,VBG,
for,O,11,looking,prep,IN,
a,O,14,lot,det,DT,
lot,O,15,more,npadvmod,NN,
more,O,12,for,pobj,JJR,
than,O,15,more,prep,IN,
just,O,19,power,advmod,RB,
megapixel,O,19,power,amod,JJ,mega ##pi ##x ##el
power,O,16,than,pobj,NN,
.,O,11,looking,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
no,O,3,number,det,DT,
contact,O,3,number,compound,NN,
phone,O,3,number,compound,NN,
number,O,3,number,ROOT,NN,
",",O,3,number,punct,",",
only,O,7,contact,advmod,RB,
eamil,B-ASP,7,contact,compound,NNP,ea ##mi ##l
contact,O,3,number,appos,NN,
which,O,11,respond,nsubj,WDT,
did,O,11,respond,aux,VBD,
not,O,11,respond,neg,RB,
respond,O,7,contact,relcl,VB,
me,O,11,respond,dobj,PRP,
.,O,3,number,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,shot,nsubj,PRP,
shot,O,1,shot,ROOT,VBD,
over,O,1,shot,prt,IN,
300,O,4,photos,nummod,CD,
photos,O,1,shot,dobj,NNS,
at,O,1,shot,prep,IN,
my,O,7,goddaughter,poss,PRP$,
goddaughter,O,10,party,poss,NN,god ##da ##ught ##er
's,O,7,goddaughter,case,POS,' s
birthday,O,10,party,compound,NN,
party,O,5,at,pobj,NN,
without,O,1,shot,prep,IN,
switching,O,11,without,pcomp,VBG,
out,O,12,switching,prt,RP,
to,O,12,switching,prep,IN,
my,O,17,battery,poss,PRP$,
backup,O,17,battery,amod,JJ,
battery,O,14,to,pobj,NN,
.,O,1,shot,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,'ve,nsubj,PRP,
've,O,1,'ve,ROOT,VBP,' ve
yet,O,1,'ve,advmod,RB,
to,O,5,dissappointed,aux,TO,
be,O,5,dissappointed,auxpass,VB,
dissappointed,O,1,'ve,xcomp,VBN,di ##ssa ##pp ##oint ##ed
.,O,1,'ve,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,zen,det,DT,
zen,O,2,has,nsubj,NNP,
has,O,2,has,ROOT,VBZ,
no,O,5,button,det,DT,
stop,B-ASP,5,button,compound,NN,
button,I-ASP,2,has,dobj,NN,
.,O,2,has,punct,.,
_,_,_,_,_,_,_
