TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
--,O,_,_,_,_,- -
>,O,_,_,_,.,
too,O,_,_,_,RB,
difficult,B-OP,2,too,comp_too,JJ,
to,O,_,_,_,_,
change,B-ASP,3~12,difficult~for,ARG1~ARG1,VB,
genre,B-ASP,_,_,_,NN,
/,O,_,_,_,_,
album,B-ASP,6,genre,_or_c,NN,
/,O,_,_,_,_,
track,B-ASP,8,album,_or_c,NN,
information,I-ASP,5~6,change~genre,ARG2~compound,NN,
for,O,_,_,_,IN,
large,O,_,_,_,JJ,
number,O,12~13,for~large,ARG2~ARG1,NN,
of,O,_,_,_,_,
tracks,O,14,number,ARG1,NNS,
.,O,_,_,_,_,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,3~2,used~gotten,ARG1~ARG1,PRP,
've,O,_,_,_,_,' ve
gotten,O,2,gotten,ROOT,VBN,
used,O,2,gotten,ARG2,VBN,
to,O,_,_,_,_,
it,O,3,used,ARG2,PRP,
(,O,_,_,_,_,
holding,O,9~18~2,in~ducking~gotten,ARG1~subord~conj,VBG,
it,O,7,holding,ARG2,PRP,
in,O,_,_,_,IN,
just,O,_,_,_,RB,
the,O,10,just,ARG1,DT,
right,O,_,_,_,JJ,
realation,O,11~9~14~12,the~in~to~right,BV~ARG2~ARG1~ARG1,NN,real ##ation
to,O,_,_,_,TO,
the,O,_,_,_,DT,
ear,O,15~14,the~to,BV~ARG2,NN,
",",O,_,_,_,_,
ducking,O,19,into,ARG1,VBG,duck ##ing
into,O,_,_,_,IN,
quieter,O,_,_,_,JJR,
places,O,19~22~20,into~in~quieter,ARG2~ARG1~ARG1,NNS,
in,O,_,_,_,IN,
bars,O,22,in,ARG2,NNS,
),O,_,_,_,_,
but,O,_,_,_,_,
when,O,2,gotten,_but_c,WRB,
others,O,28,borrow,ARG1,NNS,
borrow,O,26,when,ARG2,VBP,
it,O,28,borrow,ARG2,PRP,
they,O,32,shocked,ARG2,PRP,
're,O,_,_,_,_,' re
shocked,O,26,when,ARG1,VBN,
i,O,35,use,ARG1,PRP,
can,O,32,shocked,ARG2,MD,
use,O,34,can,ARG1,VB,
it,O,35,use,ARG2,PRP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
first,O,_,_,_,RB,
let,O,0~1,first~let,ARG1~ROOT,VB,
me,O,3,say,ARG1,PRP,
say,O,1,let,ARG2,VBP,
that,O,_,_,_,_,
it,O,8,smaller,ARG1,PRP,
is,O,_,_,_,_,
much,O,_,_,_,RB,
smaller,O,3~7,say~much,ARG2~ARG1,JJR,
than,O,11,looks,ARG2,IN,
it,O,11,looks,ARG1,PRP,
looks,B-ASP,12~8,on~smaller,ARG1~than,VBZ,
on,O,_,_,_,IN,
the,O,_,_,_,DT,
web,O,12~13,on~the,ARG2~BV,NN,
and,O,_,_,_,_,
it,O,18~19,looks~better,ARG1~ARG1,PRP,
also,O,8,smaller,_and_c,RB,
looks,B-ASP,17,also,ARG1,VBZ,
better,B-OP,18,looks,ARG2,JJR,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
any,O,_,_,_,DT,
possible,O,_,_,_,JJ,
problems,O,1~0~5,possible~any~weighed,ARG1~BV~ARG2,NNS,
should,O,3,should,ROOT,MD,
be,O,_,_,_,_,
weighed,O,3~12~6,should~with~against,ARG1~ARG1~ARG1,VBN,
against,O,_,_,_,IN,
the,O,_,_,_,DT,
bang-for-the-buck,O,_,_,_,JJ,bang - for - the - buck
factor,O,8~6~7,bang-for-the-buck~against~the,ARG1~ARG2~BV,NN,
",",O,_,_,_,_,
along,O,12,with,mwe,RB,
with,O,_,_,_,IN,
the,O,_,_,_,DT,
fact,O,12~13,with~the,ARG2~BV,NN,
that,O,_,_,_,_,
companies,O,17~20,like~have,ARG1~ARG1,NNS,
like,O,_,_,_,IN,
apex,O,17,like,ARG2,NN,
seldom,O,_,_,_,RB,
have,O,14~19,fact~seldom,ARG1~ARG1,VBP,
good,O,_,_,_,JJ,
after-sale,O,_,_,_,JJ,after - sale
support,O,22~21~20,after-sale~good~have,ARG1~ARG1~ARG2,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
title,O,2~0,says~the,ARG1~BV,NN,
says,O,2,says,ROOT,VBZ,
it,O,2,says,ARG2,PRP,
all,O,_,_,_,_,
...,O,_,_,_,.,. . .
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,thought,ARG1,PRP,
thought,O,7,when,ARG1,VBD,
this,O,3,was,ARG1,DT,
was,O,1,thought,ARG2,VBD,
the,O,_,_,_,DT,
ultimate,B-OP,_,_,_,JJ,
phone,B-ASP,4~3~5,the~was~ultimate,BV~ARG2~ARG1,NN,
when,O,7,when,ROOT,WRB,
it,O,9,comes,ARG1,PRP,
comes,O,7~10,when~to,ARG2~ARG1,VBZ,
to,O,_,_,_,TO,
basic,B-ASP,_,_,_,JJ,
features,I-ASP,10~11,to~basic,ARG2~ARG1,NNS,
",",O,_,_,_,_,
but,O,_,_,_,_,
i,O,17,dissapointed,ARG2,PRP,
was,O,_,_,_,_,
dissapointed,O,18,when,ARG1,VBN,di ##ssa ##point ##ed
when,O,7,when,_but_c,WRB,
i,O,20,saw,ARG1,PRP,
saw,O,18,when,ARG2,VBD,
that,O,_,_,_,_,
it,O,23,was,ARG1,PRP,
was,O,20,saw,ARG2,VBD,
only,O,_,_,_,RB,
a,O,24,only,ARG1,DT,
gsm,O,_,_,_,NN,gs ##m
comaptible,O,_,_,_,JJ,coma ##pt ##ible
phone,B-ASP,23~27~26~25,was~comaptible~gsm~a,ARG2~ARG1~compound~BV,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
while,O,0,while,ROOT,IN,
i,O,3~5,like~give,ARG1~ARG1,PRP,
would,O,0,while,ARG2,MD,
like,O,2,would,ARG1,VB,
to,O,_,_,_,_,
give,O,3,like,ARG2,VB,
it,O,5,give,ARG3,PRP,
3.5,O,_,_,_,CD,3 . 5
stars,O,7~5,3.5~give,ARG1~ARG2,NNS,
instead,O,_,_,_,_,
of,O,_,_,_,_,
4,O,8,stars,_instead+of_c,CD,
",",O,_,_,_,_,
i,O,14,gave,ARG1,PRP,
gave,O,18,because,ARG1,VBD,
it,O,14,gave,ARG3,PRP,
a,O,_,_,_,DT,
4,O,16~14,a~gave,BV~ARG2,CD,
because,O,0,while,ARG1,IN,
it,O,21,run,ARG1,PRP,
has,O,_,_,_,_,
run,O,25~18~23~22,during~because~for~well,ARG1~ARG2~ARG1~ARG1,VBN,
well,O,_,_,_,RB,
for,O,_,_,_,IN,
me,O,23,for,ARG2,PRP,
during,O,_,_,_,IN,
the,O,_,_,_,DT,
time,O,26~25,the~during,BV~ARG2,NN,
i,O,30,owned,ARG1,PRP,
have,O,_,_,_,_,
owned,O,27,time,loc,VBN,
it,O,30,owned,ARG2,PRP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
you,O,3,sorry,ARG1,PRP,
will,O,_,_,_,_,
be,O,_,_,_,_,
sorry,O,4,if,ARG1,JJ,
if,O,4,if,ROOT,IN,
you,O,6,do,ARG1,PRP,
do,O,4,if,ARG2,VBP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
it,O,_,_,_,_,
only,O,1,only,ROOT,RB,
took,O,1,only,ARG1,VBD,
me,O,2,took,ARG3,PRP,
about,O,_,_,_,_,
10,O,_,_,_,CD,
seconds,O,2~5,took~10,ARG3~ARG1,NNS,
to,O,_,_,_,_,
transfer,O,2,took,ARG1,VB,
a,O,_,_,_,DT,
200mb,O,_,_,_,JJ,200 ##mb
file,O,8~9~10,transfer~a~200mb,ARG2~BV~ARG1,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
workaround,O,0~4,the~update,BV~ARG1,NN,work ##around
is,O,_,_,_,_,
to,O,_,_,_,_,
update,O,11~7~4,through~on~update,ARG1~ARG1~ROOT,VB,
id3,O,_,_,_,NN,id ##3
tags,O,4~5,update~id3,ARG2~compound,NNS,
on,O,_,_,_,IN,
your,O,_,_,_,PRP$,
files,O,8~7,your~on,poss~ARG2,NNS,
(,O,_,_,_,_,
through,O,_,_,_,IN,
mediasource,O,11,through,ARG2,NN,media ##so ##ur ##ce
),O,_,_,_,_,
but,O,_,_,_,_,
it,O,17,be,ARG1,PRP,
can,O,20,if,ARG1,MD,
be,O,16,can,ARG1,VB,
a,O,_,_,_,DT,
hassle,O,18~17,a~be,BV~ARG2,NN,has ##sle
if,O,4,update,_but_c,IN,
you,O,22,have,ARG1,PRP,
have,O,20,if,ARG2,VBP,
many,O,_,_,_,JJ,
such,O,_,_,_,JJ,
music,O,_,_,_,NN,
files,O,22~24~25~23,have~such~music~many,ARG2~ARG1~compound~ARG1,NNS,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
nomad,O,0~5,the~larger,BV~ARG1,NN,no ##mad
is,O,_,_,_,_,
only,O,_,_,_,RB,
sligtly,O,_,_,_,RB,sl ##ig ##tly
larger,O,3~4~5,only~sligtly~larger,ARG1~ARG1~ROOT,JJR,
than,O,_,_,_,_,
an,O,_,_,_,DT,
ipod,O,7~5,an~larger,BV~than,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
in,O,_,_,_,IN,
addition,O,0,in,ARG2,NN,
",",O,_,_,_,_,
you,O,5,create,ARG1,PRP,
can,O,4,can,ROOT,MD,
create,O,0~4,in~can,ARG1~ARG1,VB,
play,O,_,_,_,NN,
lists,O,6~5,play~create,compound~ARG2,NNS,
where,O,_,_,_,_,
you,O,11,create,ARG1,PRP,
can,O,_,_,_,MD,
create,O,7~10,lists~can,loc~ARG1,VB,
the,O,_,_,_,DT,
equivalent,O,12~11,the~create,BV~ARG2,NN,
to,O,_,_,_,_,
a,O,_,_,_,DT,
compilation,O,_,_,_,NN,
