TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,REL_GROUP
had,O,0,had,ROOT,VBD,,ROOT
to,O,2,buy,aux,TO,,Auxiliaries
buy,O,0,had,xcomp,VB,,Complements
my,O,4,dad,poss,PRP$,,Nominals
dad,O,2,buy,dative,NN,,Objects
a,O,8,player,det,DT,,Nominals
different,O,8,player,amod,JJ,,Nominals
dvd,O,8,player,compound,NN,,Compund
player,O,2,buy,dobj,NN,,Objects
locally,O,2,buy,advmod,RB,,Adverbials
(,O,2,buy,punct,-LRB-,,Miscellaneous
panasonic,O,2,buy,dobj,NNP,pan ##as ##onic,Objects
),O,2,buy,punct,-RRB-,,Miscellaneous
which,O,14,worked,nsubj,WDT,,Subjects
worked,O,0,had,advcl,VBD,,Adverbials
just,O,16,fine,advmod,RB,,Adverbials
fine,O,14,worked,advmod,RB,,Adverbials
.,O,0,had,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
in,O,7,died,prep,IN,,Coordination
that,O,2,model,det,DT,,Nominals
model,O,0,in,pobj,NN,,Prepositions
the,O,5,drive,det,DT,,Nominals
hard,B-ASP,5,drive,amod,JJ,,Nominals
drive,I-ASP,7,died,nsubj,NN,,Subjects
just,O,7,died,advmod,RB,,Adverbials
died,O,7,died,ROOT,VBD,,ROOT
one,O,9,morning,nummod,CD,,Nominals
morning,O,7,died,npadvmod,NN,,Noun
before,O,7,died,prep,IN,,Coordination
my,O,12,class,poss,PRP$,,Nominals
class,O,10,before,pobj,NN,,Prepositions
.,O,7,died,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,1,service,det,DT,,Nominals
service,B-ASP,4,is,nsubj,NN,,Subjects
from,I-ASP,1,service,prep,IN,,Coordination
t-mobile,I-ASP,2,from,pobj,NNP,t - mobile,Prepositions
is,O,4,is,ROOT,VBZ,,ROOT
very,O,6,good,advmod,RB,,Adverbials
good,B-OP,4,is,acomp,JJ,,Complements
too,O,4,is,advmod,RB,,Adverbials
.,O,4,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,1,phones,det,DT,,Nominals
phones,B-ASP,2,are,nsubj,NNS,,Subjects
are,O,2,are,ROOT,VBP,,ROOT
awesome,B-OP,2,are,acomp,JJ,,Complements
.,O,2,are,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
after,O,2,discovered,mark,IN,,Compund
we,O,2,discovered,nsubj,PRP,,Subjects
