TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
after,O,0,after,ROOT,IN,
receiving,O,0,after,pcomp,VBG,
my,O,7,player,poss,PRP$,
zen,O,4,xtra,compound,NNP,
xtra,O,7,player,nmod,NNP,x ##tra
40gb,O,7,player,compound,NNP,40 ##gb
mp3,O,7,player,compound,NN,
player,O,1,receiving,dobj,NN,
..,O,0,after,punct,NFP,. .
.,O,0,after,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,3,use,nsubj,PRP,
do,O,3,use,aux,VBP,
n't,O,3,use,neg,RB,n ' t
use,O,3,use,ROOT,VB,
the,O,5,vibration,det,DT,
vibration,O,3,use,dobj,NN,
",",O,3,use,punct,",",
because,O,9,is,mark,IN,
it,O,9,is,nsubj,PRP,
is,O,3,use,advcl,VBZ,
often,O,9,is,advmod,RB,
easier,O,9,is,acomp,JJR,
to,O,13,hear,aux,TO,
hear,O,9,is,xcomp,VB,
it,O,15,vibrate,nsubj,PRP,
vibrate,O,13,hear,ccomp,VB,vi ##brate
then,O,15,vibrate,advmod,RB,
to,O,18,feel,aux,TO,
feel,O,15,vibrate,xcomp,VB,
it,O,18,feel,dobj,PRP,
.,O,3,use,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
3,O,8,wiped,meta,LS,
.,O,0,3,punct,.,
with,O,8,wiped,prep,IN,
low,O,4,battery,amod,JJ,
battery,O,2,with,pobj,NN,
",",O,8,wiped,punct,",",
it,O,8,wiped,nsubj,PRP,
twice,O,8,wiped,advmod,RB,
wiped,O,8,wiped,ROOT,VBD,
out,O,8,wiped,prt,RP,
the,O,12,pictures,det,DT,
entire,O,12,pictures,amod,JJ,
pictures,O,8,wiped,dobj,NNS,
in,O,8,wiped,prep,IN,
the,O,16,chip,det,DT,
memory,O,16,chip,compound,NN,
chip,O,13,in,pobj,NN,
.,O,8,wiped,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
at,O,12,be,prep,IN,
the,O,3,least,det,DT,
very,O,3,least,advmod,RB,
least,O,0,at,pobj,JJS,
",",O,12,be,punct,",",
a,O,10,case,det,DT,
sturdier,B-OP,10,case,amod,RBR,stu ##rdi ##er
more,O,8,protective,advmod,JJR,
protective,B-OP,10,case,amod,JJ,
carrying,O,10,case,compound,NN,
case,B-ASP,12,be,nsubj,NN,
would,O,12,be,aux,MD,
be,O,12,be,ROOT,VB,
nice,B-OP,12,be,acomp,JJ,
.,O,12,be,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
if,O,3,intrested,mark,IN,
you,O,3,intrested,nsubjpass,PRP,
're,O,3,intrested,auxpass,VBP,' re
intrested,O,3,intrested,ROOT,JJ,int ##rest ##ed
in,O,3,intrested,prep,IN,
buying,O,4,in,pcomp,VBG,
a,O,8,battery,det,DT,
spare,O,8,battery,amod,JJ,
battery,O,5,buying,dobj,NN,
it,O,11,run,nsubj,PRP,
'll,O,11,run,aux,MD,' ll
run,O,21,thought,ccomp,VB,
you,O,11,run,dative,PRP,
another,O,15,50,det,DT,
$,O,15,50,nmod,$,
50,O,11,run,dobj,CD,
",",O,15,50,punct,",",
a,O,18,little,det,DT,
little,O,19,steep,amod,JJ,
steep,O,21,thought,amod,NN,
i,O,21,thought,nsubj,PRP,
thought,O,21,thought,ROOT,VBD,
.,O,21,thought,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
what,O,1,kind,det,WDT,
kind,O,5,does,nsubj,NN,
of,O,1,kind,prep,IN,
a,O,4,company,det,DT,
company,O,2,of,pobj,NN,
does,O,5,does,ROOT,VBZ,
that,O,5,does,dobj,DT,
!,O,5,does,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
now,O,2,have,advmod,RB,
i,O,2,have,nsubj,PRP,
have,O,2,have,ROOT,VBP,
to,O,4,return,aux,TO,
return,O,2,have,xcomp,VB,
it,O,4,return,dobj,PRP,
and,O,4,return,cc,CC,
rip,O,4,return,conj,VB,
all,O,10,music,det,PDT,
my,O,10,music,poss,PRP$,
music,O,7,rip,dobj,NN,
again,O,7,rip,advmod,RB,
.,O,2,have,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,camera,det,DT,
camera,B-ASP,2,was,nsubj,NN,
was,O,2,was,ROOT,VBD,
a,O,4,marvel,det,DT,
marvel,B-OP,2,was,attr,NN,
.,O,2,was,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,was,nsubj,PRP,
was,O,1,was,ROOT,VBD,
prepared,O,1,was,acomp,JJ,
to,O,4,love,aux,TO,
love,O,2,prepared,xcomp,VB,
it,O,4,love,dobj,PRP,
.,O,1,was,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,zennx,det,DT,
zennx,O,3,keep,nsubj,NNP,zen ##nx
