TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
--,O,3,difficult,punct,_,- -,O
>,O,3,difficult,punct,_,,O
too,O,3,difficult,advmod,_,,O
difficult,B-OP,3,difficult,ROOT,_,,"5###[""OT"", ""csubj"", ""ASP""]"
to,O,5,change,mark,_,,O
change,B-ASP,3,difficult,csubj,_,,AT-Head
genre,B-ASP,11,information,compound,_,,AT-W\O-Path
/,O,8,album,punct,_,,O
album,B-ASP,11~6,information~genre,compound~conj,_,,AT-W\O-Path
/,O,8,album,punct,_,,O
track,B-ASP,11,information,compound,_,,AT-W\O-Path
information,I-ASP,5,change,obj,_,,AT-W\O-Path
for,O,14,number,case,_,,O
large,O,14,number,amod,_,,O
number,O,5,change,obl,_,,O
of,O,16,tracks,case,_,,O
tracks,O,14,number,nmod:of,_,,O
.,O,3,difficult,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,2,gotten,nsubj,_,,O
've,O,2,gotten,aux,_,' ve,O
gotten,O,2,gotten,ROOT,_,,O
used,O,2,gotten,xcomp,_,,O
to,O,5,it,case,_,,O
it,O,3,used,obl,_,,O
(,O,7,holding,punct,_,,O
holding,O,3,used,advcl,_,,O
it,O,7,holding,obj,_,,O
in,O,7,holding,compound:prt,_,,O
just,O,13,realation,advmod,_,,O
the,O,13,realation,det,_,,O
right,O,13,realation,amod,_,,O
realation,O,7,holding,obl,_,real ##ation,O
to,O,16,ear,case,_,,O
the,O,16,ear,det,_,,O
ear,O,13,realation,nmod:to,_,,O
",",O,7,holding,punct,_,,O
ducking,O,7,holding,xcomp,_,duck ##ing,O
into,O,21,places,case,_,,O
quieter,O,21,places,amod,_,,O
places,O,18,ducking,obl,_,,O
in,O,23,bars,case,_,,O
bars,O,18,ducking,obl,_,,O
),O,7,holding,punct,_,,O
but,O,32,shocked,cc,_,,O
when,O,28,borrow,mark,_,,O
others,O,28,borrow,nsubj,_,,O
borrow,O,32,shocked,advcl:when,_,,O
it,O,28,borrow,obj,_,,O
they,O,32,shocked,nsubj,_,,O
're,O,32,shocked,aux,_,' re,O
shocked,O,3~2,used~gotten,conj~xcomp,_,,O
i,O,35,use,nsubj,_,,O
can,O,35,use,aux,_,,O
use,O,32,shocked,ccomp,_,,O
it,O,35,use,obj,_,,O
.,O,2,gotten,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
first,O,1,let,advmod,_,,O
let,O,1,let,ROOT,_,,O
me,O,1,let,obj,_,,O
say,O,1,let,xcomp,_,,O
that,O,8,smaller,mark,_,,O
it,O,8,smaller,nsubj,_,,O
is,O,8,smaller,cop,_,,O
much,O,8,smaller,advmod,_,,O
smaller,O,3,say,ccomp,_,,O
than,O,11~18,looks~looks,mark~mark,_,,O
