TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
i,O,1,got,nsubj,_,,O
got,O,1,got,ROOT,_,,O
one,O,1~6,got~serve,obj~nsubj:xcomp(INF),_,,O
of,O,4,these,case,_,,O
these,O,2,one,nmod:of,_,,O
to,O,6,serve,mark,_,,O
serve,O,1,got,xcomp,_,,O
as,O,11,player,case,_,,O
a,O,11,player,det,_,,O
second,O,11,player,amod,_,,O
dvd,O,11,player,compound,_,,O
player,O,6,serve,obl,_,,O
in,O,14,house,case,_,,O
my,O,14,house,nmod:poss,_,,O
house,O,11,player,nmod:in,_,,O
.,O,1,got,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
apex,O,4,responded,nsubj:pass,_,,O
has,O,4,responded,aux,_,,O
still,O,4,responded,advmod,_,,O
not,O,4,responded,advmod,_,,O
responded,O,4,responded,ROOT,_,,O
to,O,7,email,case,_,,O
my,O,7,email,nmod:poss,_,,O
email,O,4,responded,obl,_,,O
describing,O,7,email,acl,_,,O
the,O,10,problem,det,_,,O
problem,O,8,describing,obj,_,,O
after,O,22,busy,mark,_,,O
almost,O,14,week,advmod,_,,O
a,O,14,week,det,_,,O
week,O,22,busy,nsubj,_,,O
and,O,19,line,cc,_,,O
their,O,19,line,nmod:poss,_,,O
customer,B-ASP,18,service,compound,_,,AT-Secondary
service,I-ASP,19,line,compound,_,,AT-Secondary
line,I-ASP,22~14,busy~week,nsubj~conj,_,,AT-Head
is,O,22,busy,cop,_,,O
always,O,22,busy,advmod,_,,O
busy,B-OP,4,responded,advcl:after,_,,"19###[""OT"", ""nsubj"", ""ASP""]"
.,O,4,responded,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
to,O,1,keep,mark,_,,O
keep,O,7,cheaper,advcl:to,_,,O
it,O,1,keep,obj,_,,O
short,O,1,keep,xcomp,_,,O
",",O,7,cheaper,punct,_,,O
this,O,7,cheaper,nsubj,_,,O
is,O,7,cheaper,cop,_,,O
cheaper,O,7,cheaper,ROOT,_,,O
",",O,15,choice,punct,_,,O
and,O,15,choice,cc,_,,O
in,O,12,opinion,case,_,,O
my,O,12,opinion,nmod:poss,_,,O
opinion,O,15,choice,obl,_,,O
a,O,15,choice,det,_,,O
better,O,15,choice,amod,_,,O
choice,O,7,cheaper,conj,_,,O
than,O,18,ipod,case,_,,O
an,O,18,ipod,det,_,,O
ipod,O,15,choice,nmod:than,_,,O
.,O,7,cheaper,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,longest,det,_,,O
longest,O,1,longest,ROOT,_,,O
that,O,6,charged,mark,_,,O
i,O,6,charged,nsubj,_,,O
have,O,6,charged,aux,_,,O
n't,O,6,charged,advmod,_,n ' t,O
charged,O,1,longest,ccomp,_,,O
it,O,6,charged,obj,_,,O
was,O,11,days,cop,_,,O
maybe,O,11,days,advmod,_,,O
3,O,11,days,nummod,_,,O
days,O,6,charged,obl:tmod,_,,O
and,O,15,turning,cc,_,,O
that,O,15,turning,nsubj,_,,O
's,O,15,turning,aux,_,' s,O
turning,O,6~1,charged~longest,conj~ccomp,_,,O
it,O,15,turning,obj,_,,O
off,O,15,turning,compound:prt,_,,O
every,O,19,now,advmod,_,,O
now,O,15,turning,advmod,_,,O
and,O,21,then,cc,_,,O
then,O,6~1,charged~longest,conj~ccomp,_,,O
.,O,1,longest,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
at,O,2,time,case,_,,O
this,O,2,time,det,_,,O
time,O,5,decided,obl,_,,O
",",O,5,decided,punct,_,,O
i,O,5~13~7,decided~much~turn,nsubj~nsubj~nsubj:xcomp(INF),_,,O
decided,O,5,decided,ROOT,_,,O
to,O,7,turn,mark,_,,O
turn,O,5,decided,xcomp,_,,O
the,O,9,player,det,_,,O
player,O,7,turn,obj,_,,O
on,O,7,turn,compound:prt,_,,O
",",O,13,much,punct,_,,O
and,O,13,much,cc,_,,O
much,O,5,decided,conj,_,,O
to,O,16,surprise,case,_,,O
my,O,16,surprise,nmod:poss,_,,O
surprise,O,13,much,obl,_,,O
it,O,18,comes,nsubj,_,,O
comes,O,16,surprise,acl:relcl,_,,O
with,O,23,library,case,_,,O
quite,O,23,library,det:predet,_,,O
the,O,23,library,det,_,,O
little,O,23,library,amod,_,,O
library,O,18,comes,obl,_,,O
of,O,26,music,case,_,,O
classical,O,26,music,amod,_,,O
music,O,23,library,nmod:of,_,,O
",",O,16,surprise,punct,_,,O
one,O,34,favorite,nsubj,_,,O
of,O,30,which,case,_,,O
which,O,28,one,nmod:of,_,,O
is,O,34,favorite,cop,_,,O
a,O,34,favorite,det,_,,O
childhood,O,34,favorite,compound,_,,O
favorite,O,5,decided,ccomp,_,,O
",",O,36,bach,punct,_,,O
bach,O,38,air,nmod:poss,_,,O
's,O,36,bach,case,_,' s,O
air,O,34~5,favorite~decided,conj~ccomp,_,,O
.,O,5,decided,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,pictures,det,_,,O
pictures,B-ASP,3,razor-sharp,nsubj,_,,AT-Head
are,O,3,razor-sharp,cop,_,,O
razor-sharp,B-OP,3,razor-sharp,ROOT,_,razor - sharp,"1###[""OT"", ""nsubj"", ""ASP""]"
",",O,3,razor-sharp,punct,_,,O
even,O,7,macro,advmod,_,,O
in,O,7,macro,case,_,,O
macro,B-ASP,3,razor-sharp,obl,_,,AT-W\O-Path
.,O,3,razor-sharp,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,door,det,_,,O
door,B-ASP,4,close,nsubj,_,,AT-W\O-Path
would,O,4,close,aux,_,,O
not,O,4,close,advmod,_,,O
close,O,4,close,ROOT,_,,O
.,O,4,close,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
since,O,2,received,mark,_,,O
i,O,2,received,nsubj,_,,O
received,O,7,spent,advcl:since,_,,O
the,O,4,phone,det,_,,O
phone,O,2,received,obj,_,,O
",",O,7,spent,punct,_,,O
i,O,7,spent,nsubj,_,,O
spent,O,7,spent,ROOT,_,,O
countless,O,9,hours,amod,_,,O
hours,O,7,spent,obj,_,,O
on,O,12,phone,case,_,,O
the,O,12,phone,det,_,,O
phone,O,7,spent,obl,_,,O
with,O,16,reps,case,_,,O
customer,B-ASP,15,service,compound,_,,AT-W\O-Path
service,I-ASP,16,reps,compound,_,,AT-W\O-Path
reps,I-ASP,7,spent,obl,_,rep ##s,AT-W\O-Path
who,O,18,promised,nsubj,_,,O
promised,O,16,reps,acl:relcl,_,,O
t-zones,O,21,work,nsubj,_,t - zones,O
would,O,21,work,aux,_,,O
work,O,18,promised,ccomp,_,,O
"""",O,21,work,punct,_,,O
in,O,25,hours,case,_,,O
24,O,25,hours,nummod,_,,O
hours,O,21,work,obl,_,,O
"""",O,21,work,punct,_,,O
.,O,7,spent,punct,_,,O
_,_,_,_,_,_,_
