TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
I,O,2,love,nsubj,_,,O
just,O,2,love,advmod,_,,O
love,B-OP,2,love,ROOT,_,,OT-W\O-Path
my,O,4,Mac,nmod:poss,_,,O
Mac,O,2,love,obj,_,,O
!,O,2,love,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Easy,B-OP,0,Easy,ROOT,_,,"2###[""OT"", ""advcl:to"", ""ASP""]"
to,O,2,install,mark,_,,O
install,B-ASP,0,Easy,advcl:to,_,,AT-Head
also,O,2,install,advmod,_,,O
small,B-OP,2,install,obj,_,,"2###[""OT"", ""obj^-1"", ""ASP""]"
to,O,6,leave,mark,_,,O
leave,O,2,install,advcl:to,_,,O
anywhere,O,6,leave,advmod,_,,O
at,O,10,bedroom,case,_,,O
your,O,10,bedroom,nmod:poss,_,,O
bedroom,O,6,leave,obl,_,,O
also,O,13,easy,advmod,_,,O
very,O,13,easy,advmod,_,,O
easy,B-OP,6,leave,parataxis,_,,"15###[""OT"", ""ccomp"", ""ASP""]"
to,O,15,configure,mark,_,,O
configure,B-ASP,13,easy,ccomp,_,con ##fi ##gur ##e,AT-Head
for,I-ASP,18,cable,case,_,,AT-Secondary
ADSl,I-ASP,18,cable,compound,_,ads ##l,AT-Secondary
cable,I-ASP,15,configure,obl,_,,AT-Secondary
or,I-ASP,20,wifi,cc,_,,AT-Secondary
wifi,I-ASP,18~15,cable~configure,conj~obl,_,wi ##fi,AT-Secondary
.,O,0,Easy,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
His,O,2,worth,nsubj,_,,O
was,O,2,worth,cop,_,,O
worth,O,2,worth,ROOT,_,,O
$,O,2,worth,obj,_,,O
36,O,3,$,nummod,_,,O
.,O,2,worth,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,3,rated,nsubj:pass,_,,O
was,O,3,rated,aux:pass,_,,O
over,B-OP,3,rated,advmod,_,,OT-W\O-Path
rated,I-OP,3,rated,ROOT,_,,OT-W\O-Path
!,O,3,rated,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
This,O,4,problem,nsubj,_,,O
was,O,4,problem,cop,_,,O
the,O,4,problem,det,_,,O
same,O,4,problem,amod,_,,O
problem,O,4,problem,ROOT,_,,O
with,O,7,MacBook,case,_,,O
my,O,7,MacBook,nmod:poss,_,,O
MacBook,O,4,problem,nmod:with,_,mac ##book,O
(,O,9,circa,punct,_,,O
circa,O,7,MacBook,appos,_,,O
2007,O,9,circa,nummod,_,,O
),O,9,circa,punct,_,,O
that,O,15,retired,obj,_,,O
I,O,15,retired,nsubj,_,,O
just,O,15,retired,advmod,_,,O
retired,O,4,problem,acl:relcl,_,,O
.,O,4,problem,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
pros,O,0,pros,ROOT,_,pro ##s,O
:,O,0,pros,punct,_,,O
the,O,5,notebook,det,_,,O
macbook,O,5,notebook,compound,_,mac ##book,O
pro,O,5,notebook,compound,_,,O
notebook,O,6,has,nsubj,_,,O
has,O,0,pros,appos,_,,O
a,O,10,life,det,_,,O
large,B-OP,10,life,amod,_,,"10###[""OT"", ""amod^-1"", ""ASP""]"
battery,B-ASP,10,life,compound,_,,AT-Secondary
life,I-ASP,14~16,have~worry,nsubj~nsubj:xcomp(INF),_,,AT-Head
and,O,13,wont,cc,_,,O
you,O,13,wont,nmod:poss,_,,O
wont,O,10~16~14,life~worry~have,conj~nsubj:xcomp(INF)~nsubj,_,won ##t,O
have,O,6,has,ccomp,_,,O
to,O,16,worry,mark,_,,O
worry,O,14,have,xcomp,_,,O
to,O,18,charge,mark,_,,O
charge,O,16,worry,advcl:to,_,,O
your,O,20,laptop,nmod:poss,_,,O
laptop,O,18,charge,obj,_,,O
every,O,23,hours,det,_,,O
five,O,23,hours,nummod,_,,O
hours,O,18,charge,obj,_,,O
or,O,25,so,cc,_,,O
so,O,18~23,charge~hours,obj~conj,_,,O
.,O,0,pros,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
It,O,4,load,nsubj,_,,O
would,O,4,load,aux,_,,O
be,O,4,load,cop,_,,O
a,O,4,load,det,_,,O
load,O,4,load,ROOT,_,,O
on,O,7,trips,case,_,,O
long,O,7,trips,amod,_,,O
trips,O,4,load,nmod:on,_,,O
where,O,14,required,advmod,_,,O
a,O,10,lot,det,_,,O
lot,O,14,required,nsubj:pass,_,,O
of,O,12,walking,case,_,,O
walking,O,10,lot,nmod:of,_,,O
is,O,14,required,aux:pass,_,,O
required,O,7,trips,acl:relcl,_,,O
.,O,4,load,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,7~2,needed~like,nsubj~nsubj,_,,O
personally,O,2,like,advmod,_,,O
like,B-OP,2,like,ROOT,_,,"5###[""OT"", ""obj"", ""ASP""]"
the,O,5,look,det,_,,O
gaming,B-ASP,5,look,compound,_,,AT-Secondary
look,I-ASP,2,like,obj,_,,AT-Head
but,O,7,needed,cc,_,,O
needed,O,2,like,conj,_,,O
a,O,9,machine,det,_,,O
machine,O,7,needed,obj,_,,O
that,O,11,delivered,nsubj,_,,O
delivered,O,9,machine,acl:relcl,_,,O
gaming,B-ASP,11,delivered,xcomp,_,,AT-Head
performance,I-ASP,12,gaming,obj,_,,AT-Secondary
while,O,16,looking,mark,_,,O
still,O,16,looking,advmod,_,,O
looking,O,12,gaming,advcl:while,_,,O
professional,B-OP,16,looking,xcomp,_,,"12###[""OT"", ""xcomp^-1"", ""*"", ""advcl:while^-1"", ""ASP""]"
in,O,19,front,case,_,,O
front,O,17,professional,obl,_,,O
of,O,22,customers,case,_,,O
my,O,22,customers,nmod:poss,_,,O
customers,O,19,front,nmod:of,_,,O
.,O,2,like,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,4,jack,det,_,,O
headphone,B-ASP,4,jack,compound,_,head ##phone,AT-W\O-Path
and,O,3,mic,cc,_,,O
mic,B-ASP,4~1,jack~headphone,compound~conj,_,,AT-W\O-Path
jack,I-ASP,7,front,nsubj,_,,AT-W\O-Path
are,O,7,front,cop,_,,O
in,O,7,front,case,_,,O
front,O,7,front,ROOT,_,,O
of,O,9,touch-pad,case,_,,O
touch-pad,B-ASP,7,front,nmod:of,_,touch - pad,AT-Head
making,O,9,touch-pad,acl,_,,O
the,O,12,touch-pad,det,_,,O
touch-pad,B-ASP,10,making,obj,_,touch - pad,AT-W\O-Path
