TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
The,O,_,_,_,_,,O
prices,B-ASP,2,were,ACT-arg,NNS,,AT-Head
were,O,2,were,ROOT,VBD,,O
fantastic,B-OP,2,were,PAT-arg,JJ,,"1###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
I,O,1,had,ACT-arg,PRP,,O
had,O,1,had,ROOT,VBD,,O
a,O,_,_,_,_,,O
great,O,4,experience,RSTR,JJ,,O
experience,O,1,had,PAT-arg,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,_,,O
Yellowtail,B-ASP,2,was,ACT-arg,NNP,yellow ##tail,AT-Head
was,O,2,was,ROOT,VBD,,O
particularly,O,4,good,EXT,RB,,O
good,B-OP,2,was,PAT-arg,JJ,,"1###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
as,O,_,_,_,_,,O
well,O,2,was,RHEM,RB,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Food,B-ASP,1,was,ACT-arg,NN,,AT-Head
was,O,3~1,-~was,APPS.member~ROOT,VBD,,O
OK,B-OP,1,was,PAT-arg,JJ,,"0###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
-,O,_,_,_,:,,O
fish,B-ASP,6,cooked,PAT-arg,NN,,AT-Head
was,O,_,_,_,_,,O
cooked,O,3~6,-~cooked,APPS.member~ROOT,VBN,,O
well,B-OP,6,cooked,MANN,RB,,"4###[""OT"", ""MANN^-1"", ""*"", ""PAT-arg"", ""ASP""]"
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Satay,O,1,is,ACT-arg,NN,sat ##ay,O
is,O,1,is,ROOT,VBZ,,O
one,O,1,is,PAT-arg,CD,,O
of,O,_,_,_,_,,O
those,O,6,haunts,RSTR,DT,,O
favorite,B-OP,6,haunts,RSTR,JJ,,OT-W\O-Path
haunts,O,2,one,DIR1,NNS,haunt ##s,O
on,O,_,_,_,_,,O
Washington,O,6,haunts,LOC,NNP,,O
where,O,14,is,LOC-arg,WRB,,O
the,O,_,_,_,_,,O
service,B-ASP,14~12,is~and,ACT-arg~CONJ.member,NN,,AT-W\O-Path
and,O,_,_,_,CC,,O
food,B-ASP,12~14,and~is,CONJ.member~ACT-arg,NN,,AT-W\O-Path
is,O,6,haunts,TWHEN,VBZ,,O
always,O,14,is,THO,RB,,O
on,O,_,_,_,_,,O
the,O,_,_,_,_,,O
money,O,14,is,LOC-arg,NN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
delicious,B-OP,2,food,RSTR,JJ,,"2###[""OT"", ""RSTR^-1"", ""ASP""]"
simple,B-OP,2,food,RSTR,JJ,,"2###[""OT"", ""RSTR^-1"", ""ASP""]"
food,B-ASP,2,food,ROOT,NN,,AT-Head
in,O,_,_,_,_,,O
nice,B-OP,6,atmosphere,RSTR,JJ,,"6###[""OT"", ""RSTR^-1"", ""ASP""]"
outdoor,O,6,atmosphere,RSTR,JJ,,O
atmosphere,B-ASP,2,food,LOC,NN,,AT-Head
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
good,B-OP,1,food,RSTR,JJ,,"1###[""OT"", ""RSTR^-1"", ""ASP""]"
food,B-ASP,3,wine,RSTR,NN,,AT-Head
good,B-OP,3,wine,RSTR,JJ,,"3###[""OT"", ""RSTR^-1"", ""ASP""]"
wine,B-ASP,_,_,_,NN,,AT-Head
that,O,5,'s,ACT-arg,WDT,,O
's,O,3,wine,RSTR,VBZ,' s,O
it,O,5,'s,PAT-arg,PRP,,O
.,O,_,_,_,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,_,,O
secret,B-OP,2,is,ACT-arg,NN,,"5###[""OT"", ""ACT-arg^-1"", ""*"", ""PAT-arg"", ""ASP""]"
is,O,2,is,ROOT,VBZ,,O
the,O,_,_,_,_,,O
lunch,B-ASP,5,menu,RSTR,NN,,AT-Secondary
menu,I-ASP,2,is,PAT-arg,NN,,AT-Head
which,O,7,offers,ACT-arg,WDT,,O
offers,O,5,menu,DESCR,VBZ,,O
a,O,_,_,_,_,,O
complimentary,B-OP,10,appetizer,RSTR,JJ,compliment ##ary,"10###[""OT"", ""RSTR^-1"", ""ASP""]"
appetizer,B-ASP,7,offers,PAT-arg,NN,app ##eti ##zer,AT-Head
with,O,_,_,_,_,,O
every,O,13,entree,RSTR,DT,,O
entree,B-ASP,10,appetizer,ACMP,NN,en ##tree,AT-W\O-Path
ordered,O,13,entree,RSTR,VBN,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,_,,O
staff,B-ASP,2,is,ACT-arg,NN,,AT-Head
is,O,10~2,and~is,CONJ.member~ROOT,VBZ,,O
n't,O,2,is,RHEM,RB,n ' t,O
the,O,_,_,_,_,,O
friendliest,B-OP,2~6,is~or,PAT-arg~DISJ.member,JJS,friend ##liest,"1###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
or,O,_,_,_,CC,,O
most,O,_,_,_,_,,O
competent,B-OP,2~6,is~or,PAT-arg~DISJ.member,JJ,,"1###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
",",O,_,_,_,_,,O
and,O,_,_,_,CC,,O
I,O,12,am,ACT-arg,PRP,,O
am,O,17~10~12,but~and~am,ADVS.member~CONJ.member~ROOT,VBP,,O
stickler,O,12,am,PAT-arg,NN,stick ##ler,O
for,O,_,_,_,_,,O
service,B-ASP,13,stickler,PAT-arg,NN,,AT-W\O-Path
",",O,_,_,_,_,,O
but,O,_,_,_,CC,,O
everything,O,23,makes,ACT-arg,NN,,O
else,O,18,everything,RSTR,RB,,O
about,O,_,_,_,_,,O
this,O,22,place,RSTR,DT,,O
place,O,18,everything,LOC,NN,,O
makes,O,17~23,but~makes,ADVS.member~ROOT,VBZ,,O
up,O,_,_,_,_,,O
for,O,_,_,_,_,,O
it,O,23,makes,PAT-arg,PRP,,O
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
So,O,1,close,EXT,RB,,O
close,O,3~1,but~close,ADVS.member~ROOT,RB,,O
",",O,_,_,_,_,,O
but,O,_,_,_,CC,,O
not,O,1~5,close~good,CM~CM,RB,,O
good,B-OP,3~5,but~good,ADVS.member~ROOT,JJ,,OT-W\O-Path
enough,I-OP,5,good,EXT,RB,,OT-W\O-Path
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Despite,O,_,_,_,_,,O
the,O,_,_,_,_,,O
fact,O,11,overcrowded,CNCS,NN,,O
that,O,_,_,_,_,,O
the,O,_,_,_,_,,O
space,B-ASP,6,is,ACT-arg,NN,,AT-Head
is,O,2,fact,RSTR,VBZ,,O
large,B-OP,6,is,PAT-arg,JJ,,"5###[""OT"", ""PAT-arg^-1"", ""*"", ""ACT-arg"", ""ASP""]"
",",O,_,_,_,_,,O
they,O,11,overcrowded,ACT-arg,PRP,,O
've,O,_,_,_,_,' ve,O
overcrowded,B-OP,11,overcrowded,ROOT,VBN,over ##crow ##ded,"15###[""OT"", ""MEANS"", ""ASP""]"
the,O,_,_,_,_,,O
floor,O,11,overcrowded,PAT-arg,NN,,O
with,O,_,_,_,_,,O
tables,B-ASP,11,overcrowded,MEANS,NNS,,AT-Head
.,O,_,_,_,.,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Over,B-OP,1,priced,MANN,IN,,OT-W\O-Path
priced,I-OP,1,priced,ROOT,VBN,,OT-W\O-Path
",",O,_,_,_,_,,O
overrated,B-OP,1,priced,PAR,VBN,over ##rated,OT-W\O-Path
....,O,_,_,_,_,. . . .,O
stay,O,5,stay,ROOT,VB,,O
away,O,5,stay,LOC,RB,,O
!,O,_,_,_,.,,O
_,_,_,_,_,_,_
