TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
after,O,_,_,_,IN,
receiving,O,0,after,ARG2,VBG,
my,O,_,_,_,PRP$,
zen,O,_,_,_,NN,
xtra,O,_,_,_,JJ,x ##tra
40gb,O,4,xtra,compound,NN,40 ##gb
mp3,O,_,_,_,NN,
player,O,6~2~3~1~5,mp3~my~zen~receiving~40gb,compound~poss~compound~ARG2~compound,NN,
..,O,_,_,_,_,. .
.,O,_,_,_,_,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,3,use,ARG1,PRP,
do,O,_,_,_,_,
n't,O,7,because,ARG1,RB,n ' t
use,O,2,n't,neg,VB,
the,O,_,_,_,DT,
vibration,O,3~4,use~the,ARG2~BV,NN,
",",O,_,_,_,_,
because,O,7,because,ROOT,IN,
it,O,_,_,_,_,
is,O,_,_,_,_,
often,O,_,_,_,RB,
easier,O,17~10,to~often,ARG1~ARG1,JJR,
to,O,_,_,_,_,
hear,O,11,easier,ARG1,VB,
it,O,15,vibrate,ARG1,PRP,
vibrate,O,13,hear,ARG2,VB,vi ##brate
then,O,_,_,_,_,
to,O,7,because,ARG2,TO,
feel,O,17,to,ARG2,VB,
it,O,18,feel,ARG2,PRP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
3,O,0,3,ROOT,CD,
.,O,_,_,_,_,
with,O,_,_,_,IN,
low,O,_,_,_,JJ,
battery,O,3~2,low~with,ARG1~ARG2,NN,
",",O,_,_,_,_,
it,O,8,wiped,ARG1,PRP,
twice,O,_,_,_,RB,
wiped,O,2~7~0,with~twice~3,ARG1~ARG1~ARG1,VBD,
out,O,_,_,_,_,
the,O,_,_,_,DT,
entire,O,_,_,_,JJ,
pictures,O,8~11~10~13,wiped~entire~the~in,ARG2~ARG1~BV~ARG1,NNS,
in,O,_,_,_,IN,
the,O,_,_,_,DT,
memory,O,_,_,_,NN,
chip,O,14~13~15,the~in~memory,BV~ARG2~compound,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
at,O,3,least,mwe,IN,
the,O,3,least,mwe,DT,
very,O,3,least,mwe,RB,
least,O,_,_,_,JJS,
",",O,_,_,_,_,
a,O,_,_,_,DT,
sturdier,B-OP,_,_,_,NN,stu ##rdi ##er
more,O,_,_,_,RBR,
protective,B-OP,7,more,comp,JJ,
carrying,O,_,_,_,NN,
case,B-ASP,8~13~6~5~9,protective~nice~sturdier~a~carrying,ARG1~ARG1~ARG1~BV~compound,NN,
would,O,11,would,ROOT,MD,
be,O,_,_,_,_,
nice,B-OP,3~11,least~would,ARG1~ARG1,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
if,O,21,thought,ARG2,IN,
you,O,3,intrested,ARG2,PRP,
're,O,_,_,_,_,' re
intrested,O,4~0,in~if,ARG1~ARG2,VBN,int ##rest ##ed
in,O,_,_,_,IN,
buying,O,4,in,ARG2,VBG,
a,O,_,_,_,DT,
spare,O,_,_,_,JJ,
battery,O,6~7~5,a~spare~buying,BV~ARG1~ARG2,NN,
it,O,11,run,ARG1,PRP,
'll,O,_,_,_,_,' ll
run,O,0,if,ARG1,VB,
you,O,11,run,ARG3,PRP,
another,O,_,_,_,_,
$,O,15~11,50~run,ARG1~ARG2,$,
50,O,_,_,_,CD,
",",O,_,_,_,_,
a,O,18,little,mwe,DT,
little,O,_,_,_,JJ,
steep,O,18,little,ARG1,JJ,
i,O,19~21,steep~thought,ARG1~ARG1,NN,
thought,O,21,thought,ROOT,VBD,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
what,O,_,_,_,WP,
kind,O,0~5,what~does,BV~ARG1,NN,
of,O,_,_,_,_,
a,O,_,_,_,DT,
company,O,1~3,kind~a,ARG1~BV,NN,
does,O,5,does,ROOT,VBZ,
that,O,5,does,ARG2,IN,
!,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
now,O,0,now,ROOT,RB,
i,O,4~7,return~rip,ARG1~ARG1,PRP,
have,O,0,now,ARG1,VBP,
to,O,_,_,_,_,
return,O,2,have,ARG1,VB,
it,O,4,return,ARG2,PRP,
and,O,_,_,_,_,
rip,O,4~11,return~again,_and_c~ARG1,VB,
all,O,7,rip,ARG2,PDT,
my,O,_,_,_,PRP$,
music,O,8~9,all~my,part~poss,NN,
again,O,_,_,_,RB,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
camera,B-ASP,0~2,the~was,BV~ARG1,NN,
was,O,2,was,ROOT,VBD,
a,O,_,_,_,DT,
marvel,B-OP,2~3,was~a,ARG2~BV,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,4~2,love~prepared,ARG1~ARG1,PRP,
was,O,_,_,_,_,
prepared,O,2,prepared,ROOT,VBN,
to,O,_,_,_,_,
love,O,2,prepared,ARG2,VB,
it,O,4,love,ARG2,PRP,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,_,_,_,DT,
zennx,O,0~4,the~running,BV~ARG1,NN,zen ##nx
will,O,_,_,_,_,
keep,O,3,keep,ROOT,VB,
running,O,3~14,keep~like,ARG1~ARG1,VBG,
for,O,_,_,_,_,
the,O,_,_,_,DT,
price,O,4~6,running~the,ARG2~BV,NN,
of,O,_,_,_,_,
a,O,_,_,_,DT,
replacement,B-ASP,_,_,_,NN,
battery,I-ASP,7~9~10,price~a~replacement,ARG1~BV~compound,NN,
",",O,_,_,_,_,
just,O,_,_,_,RB,
like,O,13,just,ARG1,IN,
any,O,_,_,_,DT,
