TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
everyone,O,1,complains,nsubj,NN,
complains,O,1,complains,ROOT,VBZ,complain ##s
about,O,5,battery,case,IN,
the,O,5,battery,det,DT,
non-replaceable,O,5,battery,amod,JJ,non - replace ##able
battery,O,1,complains,nmod,NN,
",",O,1,complains,punct,",",
yet,O,1,complains,cc,CC,
this,O,11,price,nsubj,DT,
is,O,11,price,cop,VBZ,
the,O,11,price,det,DT,
price,O,1,complains,conj,NN,
of,O,14,construction,case,IN,
sturdy,O,14,construction,amod,JJ,
construction,O,11,price,nmod,NN,
.,O,1,complains,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
whereas,O,3,have,mark,IN,
some,O,2,folks,det,DT,
folks,O,3,have,nsubj,NNS,
have,O,10,have,advcl,VBP,
the,O,6,ipod,det,DT,
"""",O,6,ipod,punct,``,
ipod,O,3,have,dobj,NN,
"""",O,6,ipod,punct,'',
",",O,10,have,punct,",",
i,O,10,have,nsubj,PRP,
have,O,10,have,ROOT,VBP,
the,O,16,xtra,det,DT,
"""",O,16,xtra,punct,``,
nomad,O,15,zen,amod,JJ,no ##mad
jukebox,O,15,zen,compound,NN,ju ##ke ##box
zen,O,16,xtra,compound,NN,
xtra,O,10,have,dobj,NN,x ##tra
"""",O,16,xtra,punct,'',
(,O,22,confused,punct,-LRB-,
not,O,22,confused,neg,RB,
to,O,22,confused,mark,TO,
be,O,22,confused,auxpass,VB,
confused,O,10,have,parataxis,VBN,
with,O,28,zen,case,IN,
the,O,28,zen,det,DT,
"""",O,28,zen,punct,``,
nomad,O,28,zen,amod,JJ,no ##mad
jukebox,O,28,zen,compound,NN,ju ##ke ##box
zen,O,29,nx,compound,NN,
nx,O,22,confused,nmod,NNP,n ##x
"""",O,29,nx,punct,'',
),O,22,confused,punct,-RRB-,
.,O,10,have,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
hope,O,0,hope,ROOT,VBP,
to,O,2,get,mark,TO,
get,O,0,hope,xcomp,VB,
my,O,4,refund,nmod:poss,PRP$,
refund,O,2,get,dobj,NN,ref ##und
in,O,8,manner,case,IN,
a,O,8,manner,det,DT,
timely,O,8,manner,amod,JJ,
manner,O,2,get,nmod,NN,
.,O,0,hope,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,3,number,det,DT,
higher,O,3,number,amod,JJR,
the,O,3,number,det,DT,
number,O,3,number,ROOT,NN,
the,O,5,better,det,DT,
better,O,3,number,amod,JJR,
the,O,7,quality,det,DT,
quality,O,3,number,dep,NN,
(,O,13,used,punct,-LRB-,
less,O,11,compression,amod,JJR,
data,O,11,compression,compound,NN,
compression,O,13,used,nsubjpass,NN,
is,O,13,used,auxpass,VBZ,
used,O,3,number,acl:relcl,VBN,
),O,13,used,punct,-RRB-,
and,O,3,number,cc,CC,
the,O,20,size,det,DT,
larger,O,20,size,amod,JJR,
the,O,20,size,det,DT,
file,O,20,size,compound,NN,
size,O,3,number,conj,NN,
.,O,3,number,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
it,O,3,play,nsubj,PRP,
wo,O,3,play,aux,MD,
n't,O,3,play,neg,RB,n ' t
play,O,3,play,ROOT,VB,
all,O,3,play,dobj,DT,
of,O,7,movies,case,IN,
my,O,7,movies,nmod:poss,PRP$,
movies,O,4,all,nmod,NNS,
.,O,3,play,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,2,stored,nsubj,PRP,
have,O,2,stored,aux,VBP,
stored,O,2,stored,ROOT,VBN,
around,O,4,60,advmod,IN,
60,O,5,cd,nummod,CD,
cd,O,2,stored,dobj,NN,
's,O,5,cd,case,VBZ,' s
(,O,9,160kbps,punct,-LRB-,
at,O,9,160kbps,case,IN,
160kbps,O,2,stored,nmod,JJ,160 ##k ##b ##ps
),O,9,160kbps,punct,-RRB-,
on,O,12,this,case,IN,
this,O,2,stored,nmod,DT,
and,O,2,stored,cc,CC,
have,O,16,touched,aux,VBP,
barely,O,16,touched,advmod,RB,
touched,O,2,stored,conj,VBN,
the,O,19,memory,det,DT,
available,O,19,memory,amod,JJ,
memory,B-ASP,16,touched,dobj,NN,
.,O,2,stored,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,warranty,det,DT,
warranty,O,4,days,nsubj,NN,warrant ##y
is,O,4,days,cop,VBZ,
90,O,4,days,nummod,CD,
days,O,4,days,ROOT,NNS,
.,O,4,days,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,player,det,DT,
player,O,1,player,ROOT,NN,
:,O,1,player,punct,:,
it,O,5,silver,nsubj,PRP,
's,O,5,silver,cop,VBZ,' s
silver,O,1,player,parataxis,NN,
.,O,1,player,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
with,O,4,software,case,IN,
the,O,4,software,det,DT,
nomad,O,4,software,amod,JJ,no ##mad
explorer,O,4,software,compound,NN,
software,O,9,drag-and-drop,nmod,NN,
",",O,9,drag-and-drop,punct,",",
songs,O,9,drag-and-drop,nsubj,NNS,
should,O,9,drag-and-drop,aux,MD,
be,O,9,drag-and-drop,cop,VB,
drag-and-drop,O,9,drag-and-drop,ROOT,JJ,drag - and - drop
.,O,9,drag-and-drop,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
awesome,O,1,feature,amod,JJ,
feature,O,1,feature,ROOT,NN,
.,O,1,feature,punct,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
my,O,1,girlfriend,nmod:poss,PRP$,
girlfriend,O,2,loved,nsubj,NN,
loved,O,2,loved,ROOT,VBD,
using,O,2,loved,xcomp,VBG,
this,O,5,camera,det,DT,
camera,O,3,using,dobj,NN,
so,O,7,much,advmod,RB,
much,O,3,using,advmod,RB,
as,O,10,point,case,IN,
a,O,10,point,det,DT,
point,O,7,much,nmod,NN,
and,O,2,loved,cc,CC,
shoot,O,2,loved,conj,VB,
that,O,15,had,dobj,IN,
i,O,15,had,nsubj,PRP,
had,O,12,shoot,ccomp,VBD,
to,O,17,pry,mark,TO,
pry,O,15,had,xcomp,VB,
it,O,17,pry,dobj,PRP,
out,O,22,hands,case,IN,
of,O,22,hands,case,IN,
her,O,22,hands,nmod:poss,PRP$,
hands,O,17,pry,nmod,NNS,
most,O,17,pry,dobj,JJS,
of,O,26,time,case,IN,
the,O,26,time,det,DT,
time,O,23,most,nmod,NN,
.,O,2,loved,punct,.,
_,_,_,_,_,_,_
